beneficiary_id,aadhaar,name,scheme,district,amount,transaction_date,withdrawn,status
B100000,223005401501,Suresh Ptl,PM-KISAN,Surat,2000,2023-07-29,0,FAILED
B100001,130201276659,Sureshbhai Patel,Pension,Bhavnagar,1000,2024-02-12,1,SUCCESS
B100002,746174432554,Ramesh Patel,PM-KISAN,Rajkot,3000,2024-07-23,0,SUCCESS
B100003,941629821539,Ramesh Patel,Scholarship,Ahmedabad,3000,2024-12-05,1,SUCCESS
B100004,605645347792,Kiran Desai,PM-KISAN,Bhavnagar,3000,2025-01-10,0,SUCCESS
B100005,826046287257,Mahesh Shah,PM-KISAN,Surat,1000,2025-02-17,1,FAILED
B100006,277660601409,Suresh Patel,Pension,Vadodara,1000,2023-12-17,0,SUCCESS
B100007,518597220210,Amit Joshi,PM-KISAN,Vadodara,1000,2024-04-14,0,FAILED
B100008,393780765787,Amitbhai Joshi,Pension,Vadodara,2000,2025-10-19,1,FAILED
B100009,388376437635,Kiranben Desai,Pension,Vadodara,5000,2025-03-28,1,SUCCESS
B100010,658939878788,Ramesh Patel,PM-KISAN,Surat,2000,2025-05-14,0,FAILED
B100011,754474071330,Amit Joshi,Scholarship,Bhavnagar,1000,2023-08-23,1,FAILED
B100012,422601660137,Kiran Desai,PM-KISAN,Vadodara,2000,2025-11-05,0,FAILED
B100013,803694611575,Suresh Patel,PM-KISAN,Vadodara,2000,2025-12-22,0,FAILED
B100014,119278414725,Maheshbhai Shah,Scholarship,Surat,1000,2024-05-08,0,SUCCESS
B100015,635719463887,Amit Joshi,PM-KISAN,Surat,5000,2023-12-05,1,FAILED
B100016,336070141120,Suresh Patel,Pension,Vadodara,5000,2025-02-03,1,FAILED
B100017,371102648727,Mahesh Shah,PM-KISAN,Bhavnagar,2000,2024-03-27,0,SUCCESS
B100018,794529888366,Ramesh Ptl,PM-KISAN,Vadodara,1000,2025-11-18,0,FAILED
B100019,635449182375,Suresh Patel,Pension,Bhavnagar,5000,2024-05-12,1,FAILED
B100020,203897019487,Mahesh S.,Scholarship,Rajkot,5000,2025-08-14,0,SUCCESS
B100021,542641960943,Ramesh Patel,PM-KISAN,Surat,2000,2025-07-07,0,FAILED
B100022,405730753142,Ramesh Patel,Scholarship,Bhavnagar,1000,2023-04-14,0,SUCCESS
B100023,928612436713,Suresh Patel,Scholarship,Rajkot,5000,2024-03-13,1,SUCCESS
B100024,517318938760,Mahesh S.,Scholarship,Rajkot,3000,2025-05-16,1,SUCCESS
B100025,422938152332,Ramesh Patel,Pension,Bhavnagar,1000,2024-10-04,0,SUCCESS
B100026,626495033786,Amit Joshi,PM-KISAN,Ahmedabad,1000,2024-01-16,0,SUCCESS
B100027,543391824534,Amitbhai Joshi,PM-KISAN,Bhavnagar,1000,2023-06-17,1,FAILED
B100028,387482374357,Mahesh Shah,PM-KISAN,Vadodara,5000,2023-09-26,1,FAILED
B100029,108901504899,Amit Joshi,PM-KISAN,Ahmedabad,2000,2025-11-02,1,SUCCESS
B100030,486260407870,Suresh Patel,Scholarship,Vadodara,2000,2025-06-16,1,SUCCESS
B100031,428799513174,Ramesh Patel,PM-KISAN,Vadodara,1000,2023-08-08,0,FAILED
B100032,762635097563,Mahesh Shah,PM-KISAN,Vadodara,5000,2024-05-29,0,SUCCESS
B100033,566580698915,Ramesh Patel,PM-KISAN,Vadodara,2000,2024-06-20,0,FAILED
B100034,875463562649,Ramesh Patel,Pension,Ahmedabad,2000,2023-03-15,1,SUCCESS
B100035,239284873367,Maheshbhai Shah,PM-KISAN,Vadodara,2000,2024-05-26,0,FAILED
B100036,717530897084,Kiran Desai,Pension,Surat,2000,2023-11-29,0,FAILED
B100037,293379984954,Mahesh Shah,Scholarship,Surat,3000,2023-11-23,0,FAILED
B100038,142400633488,Suresh Patel,PM-KISAN,Rajkot,3000,2024-09-17,0,SUCCESS
B100039,821656143707,Maheshbhai Shah,Scholarship,Ahmedabad,3000,2024-12-20,1,FAILED
B100040,134098763897,Suresh Ptl,PM-KISAN,Bhavnagar,3000,2023-03-20,0,FAILED
B100041,900348631876,Kiran Desai,Pension,Bhavnagar,1000,2025-02-27,0,FAILED
B100042,877579719274,Amit Joshi,Pension,Surat,3000,2025-06-02,0,FAILED
B100043,446273815783,Ramesh Patel,Pension,Vadodara,3000,2025-04-16,1,FAILED
B100044,425117034534,Suresh Patel,Scholarship,Rajkot,2000,2024-09-08,1,SUCCESS
B100045,414837745591,Amit Joshi,Pension,Vadodara,5000,2025-06-23,1,SUCCESS
B100046,621886518414,Suresh Patel,Pension,Ahmedabad,3000,2025-11-21,1,SUCCESS
B100047,360924151492,Suresh Patel,PM-KISAN,Surat,1000,2023-04-05,0,FAILED
B100048,180610047913,Amit Joshi,PM-KISAN,Rajkot,5000,2025-03-29,0,SUCCESS
B100049,858731991785,Ramesh Ptl,Scholarship,Surat,2000,2025-11-26,0,SUCCESS
B100050,372976979321,Ramesh Patel,Scholarship,Surat,5000,2025-12-23,1,FAILED
B100051,995984519250,Amit Joshi,Scholarship,Bhavnagar,5000,2023-11-22,1,FAILED
B100052,925746940063,Mahesh Shah,Pension,Rajkot,2000,2024-07-16,1,SUCCESS
B100053,416597264475,Mahesh Shah,Scholarship,Bhavnagar,1000,2023-10-11,0,SUCCESS
B100054,861854335443,Sureshbhai Patel,PM-KISAN,Rajkot,5000,2024-11-08,1,FAILED
B100055,323605728604,Kiran Desai,Pension,Ahmedabad,5000,2025-09-03,0,FAILED
B100056,925916252414,Kiran Desai,Pension,Bhavnagar,2000,2025-09-26,0,FAILED
B100057,634447845982,Maheshbhai Shah,Pension,Rajkot,2000,2025-08-15,0,SUCCESS
B100058,533391959419,Ramesh Patel,PM-KISAN,Rajkot,2000,2025-08-03,0,SUCCESS
B100059,517729190564,Kiran Desai,Scholarship,Vadodara,5000,2024-07-23,1,FAILED
B100060,189485261008,Amit Joshi,PM-KISAN,Vadodara,2000,2023-05-21,0,SUCCESS
B100061,374661490981,Rameshbhai Patel,Pension,Surat,2000,2023-09-16,1,SUCCESS
B100062,612037258811,Mahesh Shah,PM-KISAN,Bhavnagar,1000,2023-12-02,1,SUCCESS
B100063,128255235797,Amit Joshi,Pension,Rajkot,5000,2024-02-11,0,SUCCESS
B100064,864941841452,Amit Joshi,PM-KISAN,Bhavnagar,1000,2024-12-12,1,FAILED
B100065,654346948105,Ramesh Patel,Scholarship,Rajkot,1000,2025-06-06,1,FAILED
B100066,270541592056,Amit Joshi,Pension,Vadodara,5000,2025-08-10,1,FAILED
B100067,198503450940,Kiran Desai,PM-KISAN,Rajkot,5000,2024-11-19,0,FAILED
B100068,460137100173,Sureshbhai Patel,Scholarship,Vadodara,3000,2024-07-26,1,SUCCESS
