aadhaar,name,death_date
893725541723,Mahesh Shah,2025-11-29
986322242576,Amit Joshi,2025-12-27
642374295556,Kiran Desai,2023-02-26
390728753239,Mahesh Shah,2025-03-01
579825443792,Ramesh Patel,2024-02-27
477243792783,Kiran Desai,2023-12-23
535493826638,Ramesh Patel,2024-08-31
610654275158,Suresh Patel,2023-01-08
555946707598,Mahesh Shah,2025-02-03
819524454615,Mahesh Shah,2023-07-01
754978150135,Suresh Patel,2024-07-08
460912644298,Kiran Desai,2024-03-27
302423816077,Suresh Patel,2025-08-18
796398686706,Sureshbhai Patel,2024-07-22
378372600636,Amit Joshi,2025-01-30
773729254454,Kiran Desai,2025-08-08
421892838529,Ramesh Patel,2024-12-20
355995974605,Rmsh Patel,2025-11-22
441557723637,Ramesh Patel,2023-03-29
781138221841,Sureshbhai Patel,2023-05-27
865719795998,Mahesh S.,2023-03-21
778024607449,Mahesh Shah,2023-05-06
793038686274,Suresh Patel,2024-01-03
794105056349,Amit Joshi,2024-01-23
917887823974,Amit Joshi,2023-08-24
119429814577,Amit Joshi,2023-08-26
274072171178,Amit Joshi,2023-05-18
966323937743,Kiran D.,2024-05-08
735611109228,Rmsh Patel,2025-08-08
562792057600,Kiran Desai,2025-08-27
428602635184,Amit Joshi,2025-10-14
521667729668,Maheshbhai Shah,2023-07-20
549653760789,Suresh Patel,2025-09-10
265962288340,Mahesh Shah,2023-04-11
312196605862,Kiran Desai,2025-03-29
546390884965,Amit Joshi,2024-03-21
568660961232,Kiran Desai,2024-04-27
772245076800,Mahesh Shah,2024-06-09
838133907313,Ramesh Patel,2023-03-17
490500242077,Mahesh Shah,2025-06-01
660580023766,Ramesh Patel,2025-05-31
616658473891,Mahesh Shah,2025-07-20
224273179604,Amit J.,2025-10-17
999805961603,Amit Joshi,2023-08-27
139761474525,Mahesh Shah,2023-07-17
607011743987,Ramesh Patel,2023-12-31
648210822749,Ramesh Patel,2025-06-21
265361248457,Ramesh Patel,2024-05-26
727248919089,Amit Joshi,2025-08-03
259686765275,Suresh Patel,2023-03-29
559732969211,Ramesh Ptl,2023-02-07
182695101581,Amitbhai Joshi,2024-06-04
602066238159,Rameshbhai Patel,2024-08-02
242654843646,Ramesh Ptl,2025-01-15
741009305755,Kiran D.,2024-07-02
621294420996,Kiran Desai,2025-07-04
108267794898,Mahesh Shah,2025-11-04
838589888441,Kiran D.,2024-10-30
432181930856,Amit Joshi,2025-01-23
796395335237,Kiran Desai,2025-12-30
686313956034,Suresh Patel,2024-09-18
898750443609,Sureshbhai Patel,2023-04-07
858478944546,Suresh Patel,2025-03-25
381265706737,Kiran Desai,2023-08-10
390169843506,Mahesh Shah,2025-10-08
621200001806,Mahesh Shah,2025-05-14
314596670765,Ramesh Patel,2023-01-03
529558307707,Suresh Patel,2024-03-07
113097594900,Kiran Desai,2024-07-09
788582959853,Suresh Patel,2023-09-15
843503219253,Kiran Desai,2025-10-26
300746295458,Ramesh Patel,2024-10-11
442330925811,Suresh Patel,2023-09-22
395678050431,Kiranben Desai,2025-08-07
797482390090,Mahesh Shah,2025-12-29
173618302221,Ramesh Patel,2024-03-08
280040809905,Kiran Desai,2023-03-17
819810747280,Mahesh Shah,2025-07-03
317910901461,Amitbhai Joshi,2025-04-23
857461121607,Amit Joshi,2023-04-12
982504613129,Ramesh Patel,2024-04-30
606385116313,Sureshbhai Patel,2025-05-22
661498206087,Amit Joshi,2023-10-23
421974759655,Ramesh Patel,2023-12-09
925334556678,Sureshbhai Patel,2024-11-25
198761441284,Kiran Desai,2024-09-27
485219423490,Ramesh Patel,2024-02-18
798062316721,Mahesh Shah,2023-06-17
831092968319,Rmsh Patel,2024-06-11
980149470999,Mahesh Shah,2024-09-10
254875936410,Suresh Ptl,2023-12-12
193026415753,Kiran Desai,2024-02-15
665506645889,Rmsh Patel,2023-12-18
668284172430,Kiran Desai,2023-04-29
622483265207,Ramesh Patel,2024-09-15
370477873262,Kiran Desai,2024-06-18
456557823646,Ramesh Patel,2025-05-23
727444419498,Suresh Patel,2023-01-29
802749647613,Amit Joshi,2025-11-18
466624188577,Mahesh Shah,2025-11-12
927939614038,Rameshbhai Patel,2024-08-12
828489831016,Amit Joshi,2024-07-14
593918711132,Suresh Patel,2025-01-06
943675689439,Ramesh Patel,2025-03-06
559925454309,Amitbhai Joshi,2025-04-30
382257024593,Kiran Desai,2025-04-13
887271130082,Ramesh Patel,2025-08-04
386081703432,Suresh Patel,2025-08-15
457895873320,Amit Joshi,2025-03-12
232637715122,Mahesh Shah,2025-12-15
568992422292,Kiran Desai,2025-09-02
340322537216,Amit Joshi,2024-01-09
868240832224,Kiranben Desai,2024-03-06
749151233569,Mahesh Shah,2025-11-02
109428567595,Mahesh S.,2025-05-29
326898671184,Kiran D.,2024-10-20
465315940178,Mahesh S.,2025-12-25
677744868612,Kiran Desai,2024-12-20
298089473553,Ramesh Patel,2024-06-16
449245910623,Mahesh Shah,2024-07-10
875530277523,Suresh Patel,2024-02-04
528912624989,Suresh Patel,2025-12-21
103881559720,Suresh Patel,2025-04-06
483202427151,Amit Joshi,2023-08-29
632825869992,Rmsh Patel,2024-07-08
871672697783,Suresh Patel,2025-02-25
628350671737,Amit J.,2024-09-04
933765141514,Amit Joshi,2023-11-20
363798159907,Suresh Patel,2023-01-06
405409579118,Mahesh S.,2023-07-10
120778853228,Ramesh Patel,2023-05-25
703570323404,Suresh Ptl,2025-03-26
842045424098,Kiran Desai,2025-02-08
427711329711,Amit Joshi,2025-04-13
779766760309,Mahesh Shah,2024-12-10
119501081712,Ramesh Patel,2023-09-14
686380727180,Ramesh Patel,2025-05-31
435671726693,Ramesh Patel,2024-01-17
103936375441,Amit Joshi,2023-12-04
761835199338,Amit Joshi,2023-05-24
963774001663,Suresh Patel,2024-08-13
645055200569,Kiranben Desai,2024-01-18
811302026810,Kiran D.,2025-03-12
317927285860,Ramesh Patel,2023-03-03
652833245879,Amit Joshi,2025-05-08
512600335154,Kiran Desai,2025-03-20
394075703452,Suresh Patel,2023-01-15
387385739348,Ramesh Patel,2025-03-11
784799509121,Amit Joshi,2023-04-03
355630974662,Suresh Patel,2024-06-11
185154468360,Kiran Desai,2025-05-26
721958304298,Kiran Desai,2024-11-01
186777554210,Rameshbhai Patel,2025-07-16
751591296481,Kiran Desai,2023-08-14
408293774619,Ramesh Patel,2023-06-22
406456107732,Suresh Patel,2025-07-05
430711054602,Mahesh Shah,2024-06-05
342615533425,Mahesh S.,2025-10-03
720080445107,Kiran D.,2025-07-16
851642339740,Rameshbhai Patel,2024-03-10
533481920544,Ramesh Patel,2025-08-02
527817544468,Kiran Desai,2023-04-07
519931469102,Suresh Patel,2025-12-24
985941626603,Suresh Patel,2023-01-12
864685855607,Ramesh Patel,2023-01-17
640557118508,Mahesh S.,2025-07-04
400234092833,Suresh Patel,2025-08-31
559457815213,Mahesh Shah,2025-10-13
217326722900,Kiran Desai,2023-12-24
221940583067,Amit Joshi,2024-05-03
571761940621,Amitbhai Joshi,2025-11-03
238159013248,Suresh Patel,2024-04-20
175834211291,Ramesh Patel,2024-08-14
801514194735,Kiran Desai,2025-11-26
477668894699,Ramesh Patel,2024-07-04
146200045145,Kiran Desai,2024-09-20
732869873430,Suresh Patel,2023-08-16
663588968895,Suresh Patel,2024-12-26
623088358336,Suresh Patel,2025-10-08
982853011465,Amitbhai Joshi,2024-10-25
826353622024,Mahesh Shah,2025-11-22
874271024231,Amit Joshi,2023-11-08
616452019165,Kiran Desai,2024-06-07
864999352511,Amit J.,2024-02-06
112075696007,Suresh Patel,2025-05-05
734198025320,Suresh Patel,2023-12-26
705098180805,Amit Joshi,2025-10-25
599087649968,Suresh Patel,2024-06-02
563698645366,Amit Joshi,2024-09-27
946957246704,Ramesh Patel,2025-05-26
290517636897,Maheshbhai Shah,2024-10-23
558850783804,Kiran Desai,2024-08-09
238688286974,Mahesh Shah,2023-11-14
527621748175,Kiran Desai,2023-10-19
916236185836,Mahesh Shah,2024-12-13
873309709763,Kiran Desai,2023-01-13
388601141906,Sureshbhai Patel,2023-05-24
477090736649,Kiran Desai,2024-03-31
498358068164,Suresh Patel,2024-05-09
519610402969,Kiran Desai,2025-04-30
299785426500,Ramesh Patel,2025-02-28
270369406109,Mahesh Shah,2023-03-01
279946737606,Ramesh Patel,2025-05-27
630178555044,Kiran Desai,2025-05-13
705472896110,Mahesh Shah,2024-02-02
498264565662,Ramesh Patel,2024-02-13
152897704618,Suresh Patel,2023-02-11
248369203040,Kiran Desai,2023-01-20
587079452558,Amitbhai Joshi,2024-12-17
699743518341,Maheshbhai Shah,2024-12-22
403425850562,Ramesh Patel,2024-05-23
246765861404,Ramesh Patel,2023-10-08
174981651956,Kiran Desai,2024-06-03
601620292233,Suresh Patel,2023-12-22
968408795026,Kiran Desai,2025-03-14
803106614420,Mahesh Shah,2025-01-28
422152896842,Amit Joshi,2024-06-20
659743069186,Ramesh Patel,2024-03-14
807646566886,Kiran D.,2025-11-26
297553596995,Kiran Desai,2023-12-27
418527473695,Ramesh Patel,2023-04-17
934177592116,Kiran Desai,2024-10-17
996686836425,Suresh Patel,2025-01-12
106676012492,Amit Joshi,2023-02-12
625117815674,Sureshbhai Patel,2024-10-13
186697448109,Suresh Patel,2023-11-04
740007604466,Mahesh Shah,2023-03-21
714334394191,Ramesh Patel,2025-05-31
606046387346,Kiran D.,2024-01-10
521733155715,Mahesh Shah,2025-10-02
358441039218,Kiran Desai,2024-01-21
400493222461,Kiran D.,2024-07-07
843033042767,Kiran Desai,2024-11-29
589047224125,Kiran Desai,2023-06-19
